smiles,iupac_name,is_toxic
O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],"(2S,3S,4S,5R)-2,3,4,5-tetrahydroxyhexanedioate",0
[H]/[NH+]=C(\N)c1ccc(OCCCCCOc2ccc(/C(N)=[NH+]/[H])cc2)cc1,[amino-[4-[5-[4-[amino(azaniumylidene)methyl]phenoxy]pentoxy]phenyl]methylidene]azanium,0
[N]=O,nitroxyl,0
O=[99Tc](=O)(=O)[O-],oxido(trioxo)(99Tc)technetium-99,0
O=P([O-])([O-])F,fluoro-dioxido-oxo-lambda5-phosphane,0
O=S([O-])([O-])=S,dioxido-oxo-sulfanylidene-lambda6-sulfane,0
[Se],selenium,1
C#CC[NH2+][C@@H]1CCc2ccccc21,"[(1R)-2,3-dihydro-1H-inden-1-yl]-prop-2-ynylazanium",0
[NH3+][C@@H](CS)C(=O)[O-],(2R)-2-azaniumyl-3-sulfanylpropanoate,0
OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,"(2S,3R,4S,5S,6R)-3-fluoro-6-(hydroxymethyl)oxane-2,4,5-triol",0
O=C[C@H](O)[C@@H](O)[C@H](O)CO,"(2R,3S,4R)-2,3,4,5-tetrahydroxypentanal",0
NC(N)=[NH2+],diaminomethylideneazanium,0
O=C([O-])C(S)C(S)C(=O)[O-],"2,3-bis(sulfanyl)butanedioate",0
O=P([O-])([O-])OCC(Cl)(Cl)Cl,"2,2,2-trichloroethyl phosphate",0
[NH3+]C(CO)(CO)CO,"[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]azanium",0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],"1,3-dinitrooxypropan-2-yl nitrate",0
FC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,3-octafluoropropane",0
FC(F)=C(F)F,"1,1,2,2-tetrafluoroethene",0
[NH3+]CC(=O)[O-],2-azaniumylacetate,0
O=C([O-])/C=C/C(=O)[O-],(E)-but-2-enedioate,0
NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-],(2S)-2-azaniumyl-5-(diaminomethylideneazaniumyl)pentanoate,0
[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],"(3-hydroxy-3,3-diphosphonatopropyl)azanium",0
[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-],3-azaniumylpropyl(2-phosphonatosulfanylethyl)azanium,0
[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F,"2,5-bis(azaniumyl)-2-(difluoromethyl)pentanoate",0
[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],"(4-hydroxy-4,4-diphosphonatobutyl)azanium",0
[NH3+]CC(=O)CCC(=O)[O-],5-azaniumyl-4-oxopentanoate,0
NC(=O)CC[C@H]([NH3+])C(=O)[O-],(2S)-5-amino-2-azaniumyl-5-oxopentanoate,0
[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,0
[NH3+]CCCCCC(=O)[O-],6-azaniumylhexanoate,0
O=C([O-])CCCCCCCC(=O)[O-],nonanedioate,0
O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)azaniumyl]acetate,0
O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],2-[2-[2-[bis(carboxylatomethyl)azaniumyl]ethyl-(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)azaniumyl]acetate,0
[NH3+]CCS,2-sulfanylethylazanium,0
C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1,"7-chloro-4-hydroxy-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-imine",0
C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,"(6R,7R)-7-[[(2R)-2-azaniumyl-2-(4-hydroxyphenyl)acetyl]amino]-8-oxo-3-[(E)-prop-1-enyl]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",0
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,"(1S,4S,7Z,10S,16E,21R)-7-ethylidene-4,21-di(propan-2-yl)-2-oxa-12,13-dithia-5,8,20,23-tetrazabicyclo[8.7.6]tricos-16-ene-3,6,9,19,22-pentone",0
NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N,"(3,5-diamino-6-chloropyrazine-2-carbonyl)-(diaminomethylidene)azanium",0
[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,"[(1S,2R,3S,4S,5R)-5-azaniumyl-2-[(2R,3R,5S,6R)-3-azaniumyl-6-(azaniumylmethyl)-5-hydroxyoxan-2-yl]oxy-4-[(2S,3R,4S,5S,6R)-4-azaniumyl-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxycyclohexyl]azanium",0
[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O,"[(2R,3S,4S,5R,6R)-6-[(1R,2S,3S,4R,6S)-6-azaniumyl-3-[(2S,3R,4S,5S,6R)-4-azaniumyl-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[[(2S)-4-azaniumyl-2-hydroxybutanoyl]amino]-2-hydroxycyclohexyl]oxy-3,4,5-trihydroxyoxan-2-yl]methylazanium",0
OCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"(2R,3R,4R,5S)-1-(2-hydroxyethyl)-2-(hydroxymethyl)piperidin-1-ium-3,4,5-triol",0
[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1,4-(azaniumylmethyl)cyclohexane-1-carboxylate,0
NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,"[(3S)-1-[[(3S,6Z,9S,12S,15S)-3-[(4R,6S)-2-amino-6-hydroxy-1,4,5,6-tetrahydropyrimidin-3-ium-4-yl]-6-[(carbamoylamino)methylidene]-9,12-bis(hydroxymethyl)-2,5,8,11,14-pentaoxo-1,4,7,10,13-pentazacyclohexadec-15-yl]amino]-6-azaniumyl-1-oxohexan-3-yl]azanium",0
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])C12CC3CC(CC(O)(C3)C1)C2,"[(1S)-2-[(1S,3S,5S)-3-cyano-2-azabicyclo[3.1.0]hexan-2-yl]-1-(3-hydroxy-1-adamantyl)-2-oxoethyl]azanium",0
[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O,"[(1S,2R,3R,4S,5R)-5-azaniumyl-2-[(2R,3R,4R,5S,6R)-3-azaniumyl-6-(azaniumylmethyl)-4,5-dihydroxyoxan-2-yl]oxy-3-[(2S,3R,4S,5R)-4-[(2R,3R,4R,5S,6S)-3-azaniumyl-6-(azaniumylmethyl)-4,5-dihydroxyoxan-2-yl]oxy-3-hydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-4-hydroxycyclohexyl]azanium",0
