canonical_smiles,flat_smiles,api_name,stereo_prefix,reason
COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,"6-(difluoromethoxy)-2-[(3,4-dimethoxy-2-pyridinyl)methylsulfinyl]-1H-benzimidazole",,collision_unresolvable
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,"6-(difluoromethoxy)-2-[(3,4-dimethoxy-2-pyridinyl)methylsulfinyl]-1H-benzimidazole",,collision_unresolvable
C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CC12Cc3c[nH]nc3CC1CCC1C2CCC2(C)C1CCC2(C)O,"(1S,2S,10S,13R,14S,17S,18S)-2,17,18-trimethyl-6,7-diazapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5-dien-17-ol","(2S,10S,13R,14S,17S,19S,22S)-",collision_unresolvable
C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CC12Cc3cn[nH]c3CC1CCC1C2CCC2(C)C1CCC2(C)O,"(1S,2S,10S,13R,14S,17S,18S)-2,17,18-trimethyl-6,7-diazapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5-dien-17-ol","(2S,10S,13R,14S,17S,19S,22S)-",collision_unresolvable
C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,[3-(4-chlorophenyl)-3-pyridin-2-ylpropyl]-dimethylazanium,,collision_unresolvable
C[N+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,C[N+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,[3-(4-chlorophenyl)-3-pyridin-2-ylpropyl]-dimethylazanium,,collision_unresolvable
O=C(O)C(=O)Nc1cccc(-c2nnn[nH]2)c1,O=C(O)C(=O)Nc1cccc(-c2nnn[nH]2)c1,2-oxo-2-[3-(2H-tetrazol-5-yl)anilino]acetic acid,,collision_unresolvable
O=C(O)C(=O)Nc1cccc(-c2nn[nH]n2)c1,O=C(O)C(=O)Nc1cccc(-c2nn[nH]n2)c1,2-oxo-2-[3-(2H-tetrazol-5-yl)anilino]acetic acid,,collision_unresolvable
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,,collision_unresolvable
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,,collision_unresolvable
